symbol,closing_stock,BaseDate,BaseHorizon,pred_safe_d1,pred_safe_d10,pred_safe_d2,pred_safe_d5,pred_safe_m1,pred_safe_m12,pred_safe_m24,pred_safe_m3,pred_safe_m6,Sector,MarketCapCategory,VolatilityCategory,exp_ret_d1,exp_ret_d10,exp_ret_d2,exp_ret_d5,exp_ret_m1,exp_ret_m12,exp_ret_m24,exp_ret_m3,exp_ret_m6
20MICRONS,228.6499938964844,2025-08-14,d1,228.62548750775628,231.50500279498957,228.9732726420603,229.453029999256,246.0948101164435,297.42119727624384,461.7930042971035,274.46945029210985,272.38940742064403,Basic Materials,Small,High,-0.00010717861090003833,0.012486372073981844,0.001413858535777024,0.003512075767363232,0.07629484664607866,0.30077063291282613,1.0196501929764703,0.2003912425922436,0.19129418190127545
21STCENMGM,56.04999923706055,2025-08-14,d10,55.97612753992267,55.07994164613164,55.90998976620468,55.56880512564285,58.13844139894348,68.50038175294172,102.85173967296336,58.00231693377254,56.77088150798089,Financial Services,Small,Medium,-0.001317960716206934,-0.01730700453404299,-0.002497938853909698,-0.008585086850447898,0.03726034237841769,0.2221299319420671,0.8349998407307251,0.03483171674016927,0.01286141446445721
360ONE,1038.5,2025-08-14,d10,1039.4531022474448,1051.4356657210672,1040.6979246282958,1042.9821704995654,1067.6975727219055,1370.7885981516226,2091.5578261435544,1109.939507218614,1225.0732609100803,Financial Services,Large,High,0.0009177681727923215,0.012456105653410932,0.0021164416257062335,0.004316004332754364,0.028115139838137182,0.3199697623029587,1.0140181282075633,0.06879105172711975,0.17965648619169983
3IINFOLTD,22.200000762939453,2025-08-14,d1,22.190978301873653,22.30028535147821,22.155670634059945,22.155280248242143,23.52560117324737,18.58735291580297,15.220316974950894,21.96063584745421,20.70372347691736,Technology,Small,High,-0.0004064171511589665,0.004517323652806882,-0.0019968525836049356,-0.002014437529748503,0.0597117281419588,-0.16273187941359957,-0.3144001598252375,-0.01078220302968802,-0.06739987543243553
3MINDIA,30350.0,2025-08-14,d1,30351.72637585174,30605.36239826043,30332.305943545944,30459.62387878033,31015.724108002112,36050.64670536349,42406.88616411365,31785.38285741073,33353.832925389215,Industrials,Large,Medium,5.688223564215278e-05,0.008413917570360141,-0.0005830002126542277,0.003611989416155925,0.021934896474534282,0.18783020446008214,0.39726148810918116,0.04729432808602074,0.09897307826653101
3PLAND,49.75,2025-08-14,d10,49.78960800866388,50.39614198086774,49.91526235323007,50.16307749834694,45.96807490071146,51.1155595096476,61.50925057867409,46.32922012572746,47.68272899171552,Real Estate,Small,High,0.0007961408776659962,0.012987778509904402,0.0033218563463330852,0.008303065293405743,-0.07601859496057373,0.027448432354725716,0.23636684580249434,-0.06875939445773949,-0.041553186096170425
5PAISA,363.6000061035156,2025-08-14,d10,364.3078075055304,364.4776823230338,364.7588934633539,363.7472724743967,376.8717365982601,444.9393089495143,521.6253350770356,381.5708389399166,394.4225949064599,Financial Services,Small,Medium,0.00194664848771553,0.0024138509482540815,0.0031872589119492645,0.00040502301542644226,0.036500908338725546,0.2237054496166364,0.43461310869321257,0.049424731943719324,0.08477059484473481
63MOONS,930.0999755859376,2025-08-14,d10,931.6994655695504,944.0564328442478,932.9763975912712,934.2830868880606,991.2128874747848,904.7309304909368,871.8759093710578,988.6080110240348,987.0883395328854,Technology,Small,High,0.0017196968343162755,0.015005330206054435,0.0030925944316055887,0.00449748565952568,0.06570574507363869,-0.027275610967540387,-0.06259979329447918,0.062905103724187,0.06127122400045937
A2ZINFRA,19.43000030517578,2025-08-14,d10,19.468046160851834,19.971564715313487,19.468426196575248,19.54021374588565,19.75965336438617,17.388630451919703,16.818787865642477,19.215651932698275,18.495992929589097,Industrials,Small,High,0.001958098562969024,0.02787258886421351,0.001977657786718101,0.00567233345233209,0.016966189090721562,-0.10506278029817095,-0.1343907564858724,-0.011031825481773505,-0.048070373696179614
AAKASH,10.420000076293944,2025-08-14,d1,10.440551603041644,10.598802882809911,10.447542015169192,10.489285321944935,9.92061666724993,12.385030928160315,16.17630913993245,10.236758983255148,10.70334514396152,Energy,Small,High,0.001972315412401615,0.017159578234817285,0.0026431802949702377,0.0066492557719475265,-0.04792547076656328,0.18858261396148368,0.5524288888187647,-0.017585517437344156,0.027192424721013353
AARTECH,61.959999084472656,2025-08-14,d1,62.02236461041458,62.30455495057429,62.00928291052091,62.14703353991959,60.47897402421741,,,72.02742694480322,67.44816008668354,Industrials,Small,High,0.0010065449784286695,0.005560940464700348,0.0007954136019443503,0.0030186323145671157,-0.023902922565187668,,,0.16248269866184506,0.08857587287450808
AARTIDRUGS,486.6499938964844,2025-08-14,d1,487.6155754672957,499.7703649698383,489.09887366411147,492.0542878109754,496.2390684496322,572.7116203528966,666.5701753536034,511.8344546310792,526.372060381869,Healthcare,Small,High,0.0019841396957187563,0.026960590235093562,0.005032117123889179,0.011105093973638347,0.01970425289923572,0.17684501702617594,0.36971166898933516,0.051750664852472594,0.08162348090737659
AARTIIND,376.1000061035156,2025-08-14,d1,376.0170725559959,376.6449141779859,375.7301958703751,373.9046553633922,399.7022681541892,484.6815400162395,582.925076621211,411.2832636646308,431.8906618230445,Basic Materials,Mid,High,-0.00022050929586237,0.0014488382494743934,-0.0009832763284740587,-0.005837146249657921,0.06275528228568383,0.2887038876644914,0.5499204125531709,0.09354761231094355,0.14833994898732694
AARTIPHARM,757.5499877929688,2025-08-14,d10,757.0535003919643,766.4755941762103,759.3668928520719,761.0761174254163,898.6802675011593,1248.3464295769927,,991.527710828088,1055.9083778868223,Healthcare,Mid,High,-0.0006553856629987198,0.011782201210569943,0.0023983962621352273,0.004654649447913606,0.1862983063591046,0.6478733412878808,,0.3088611006605455,0.3938464720500954
AARTISURF,471.6000061035156,2025-08-14,d1,471.6558869500052,480.4681879803338,471.5106687045699,474.0623303656579,561.4769664209334,536.1608339011714,464.2864062757292,563.7291462794894,565.573083267026,Basic Materials,Small,High,0.0001184920393688671,0.018804456662520952,-0.0001894346857282958,0.005221213380565137,0.19057879379604992,0.13689742782463976,-0.015508057110120377,0.19535440836222473,0.19926436799681357
AARVEEDEN,178.97000122070312,2025-08-14,d1,179.4030139404203,183.8107504320201,179.66219301483187,180.2392033922989,165.67795794357482,162.94159554937983,161.50752984297296,164.8212904110776,162.45538908591396,Consumer Cyclical,Small,High,0.002419470954705849,0.02704782465385036,0.003867641444976755,0.007091703430401219,-0.07426967193645351,-0.0895591750684368,-0.09757205821435799,-0.079056326273237,-0.09227586758757178
AARVI,124.12000274658205,2025-08-14,d10,124.30385768723237,125.09200577679673,124.82187760983362,125.47186096800098,102.6330901019004,113.15579236209024,144.09299977066706,103.12285507769064,103.60443108878728,Industrials,Small,High,0.0014812676166766625,0.007831155403688062,0.0056548086345487025,0.010891541987628317,-0.17311402005486454,-0.08833556350202165,0.16091682711983357,-0.16916812120735802,-0.16528819854831744
AAVAS,1658.0,2025-08-14,d10,1658.3330829762494,1641.0767856872153,1652.2429771533432,1646.2181066407354,1722.9925397283523,1824.0947828142823,1914.394744000593,1771.4566004399485,1790.0404996289303,Financial Services,Mid,High,0.0002008944368210308,-0.010207005013742276,-0.0034722695094432376,-0.007106087671450267,0.039199360511672054,0.10017779421850559,0.15464097949372313,0.06842979519900383,0.07963841955906537
ABAN,42.709999084472656,2025-08-14,d1,42.72115254411951,43.32879228255012,42.7512848871153,42.70695384458992,41.83393895246846,37.21950882058293,30.42833734324308,39.57382246704816,37.23029982142248,Energy,Small,High,0.00026114399171017766,0.01448825126063813,0.0009666542619441998,-7.130039681613187e-05,-0.0205118274592212,-0.12855280687387816,-0.28755940071407327,-0.0734295641454289,-0.12830014939153533
ABB,5030.0,2025-08-14,d1,5033.160006901483,4965.84670556902,5026.251793648085,5011.867901246885,5168.312126569936,6235.33452187786,7490.958235030394,5360.063921617537,5615.214215118484,Industrials,Large,Medium,0.0006282319883663678,-0.012754134081705781,-0.0007451702488895373,-0.0036047910045955422,0.027497440669967288,0.23962912959798421,0.4892561103440147,0.06561906990408284,0.11634477437743218
ABCAPITAL,273.0,2025-08-14,d1,274.06796254185105,284.4766904461409,274.7451546852947,277.8842528386658,278.42797940324454,293.4938884605183,332.47212328074045,280.0826869414574,283.0146992822597,Financial Services,Large,High,0.003911950702751188,0.042039159143373084,0.00639250800474267,0.01789103603906894,0.019882708436793184,0.07506918850006694,0.21784660542395762,0.02594390821046666,0.03668388015479751
ABFRL,75.0,2025-08-14,d1,74.36520460057932,66.57343819751758,73.59168601773645,71.22819350499783,77.85296195821815,80.06272217465484,83.17883355675382,75.94133556771217,79.23304085930755,Consumer Cyclical,Mid,High,-0.00846393865894246,-0.11235415736643228,-0.01877751976351405,-0.05029075326669552,0.03803949277624197,0.0675029623287311,0.10905111409005097,0.012551140902828939,0.05644054479076743
ABMINTLLTD,50.09999847412109,2025-08-14,d1,50.045691133217005,50.61219607015755,49.98809520612109,49.80223705761138,58.02360746923853,60.17096785772402,62.2757943805065,61.44938414255237,59.69930124992839,Basic Materials,Small,High,-0.0010839788933753036,0.010223505222281437,-0.002233598231700551,-0.005943341827914783,0.1581558729829171,0.20101735908844476,0.24302986581276564,0.22653465097995462,0.191602855652097
ABREL,1775.0999755859375,2025-08-14,d1,1772.990335508485,1760.5419616760164,1770.2900921130652,1765.0947295299163,1955.5622212504577,2130.9041267400426,2533.812044272972,1977.9086356085968,2032.556956379754,Basic Materials,Large,High,-0.0011884626818025046,-0.008201236048755889,-0.0027096408872884226,-0.005636440872981541,0.10166314469411897,0.20044175316754131,0.42741934489441546,0.11425196485381894,0.14503801720172582
ABSLAMC,854.5499877929688,2025-08-14,d1,856.9514531506273,879.956847709899,859.6130809142172,866.8661096027688,869.9119127872144,1031.0926171561491,1303.1546069572232,891.0102796314611,899.9769620295863,Financial Services,Large,High,0.0028102105107516984,0.02973127409731524,0.005924864775113781,0.014412406513056863,0.017976625374392263,0.2065913426774879,0.5249600673716674,0.04266607262222033,0.05315894316954006
ACC,1782.699951171875,2025-08-14,d1,1782.3632424084071,1762.6632493828888,1781.8670708339876,1777.266040000525,1800.6759801488731,1928.580603239238,2037.370218231713,1819.6927611275576,1865.396542375632,Basic Materials,Large,Medium,-0.00018887573494719145,-0.011239525628423785,-0.0004672016383575617,-0.0030481355921830877,0.010083597615617501,0.08183129862738081,0.14285649522367905,0.02075100183368761,0.04638839595490851
ACCELYA,1396.699951171875,2025-08-14,d1,1398.3521979745326,1404.2750139046548,1398.4209649087106,1401.1918970760162,1414.917189053502,1607.062075108007,1770.001748749538,1437.094688152705,1470.4409469767695,Technology,Small,Medium,0.0011829647457719528,0.005423543350469906,0.001232200040811593,0.0032161137403723394,0.013043057577500461,0.15061368317485213,0.26727415381123976,0.02892155680748587,0.05279659080894472
ACCURACY,6.949999809265137,2025-08-14,d1,6.953017800243242,6.722552632477759,6.920890329876542,6.879389915455175,7.153340960782782,8.039758367631983,8.769186831837171,7.152125762900021,7.123910045898609,Industrials,Small,High,0.00043424331811947603,-0.03272621338552617,-0.004188414415463471,-0.01015969722989496,0.029257720445771573,0.15679979687396162,0.26175353561115955,0.029082871824748446,0.025023056317444725
ACE,932.4000244140624,2025-08-14,d10,929.7609668182974,864.0392745741901,923.0429290199154,887.9387989553209,1120.8444048240844,1378.057725440837,1798.7026005994012,1145.0916618043743,1204.6358971854602,Industrials,Mid,Medium,-0.002830392027738715,-0.07331697560050088,-0.010035494582947058,-0.04768471074063063,0.2021067948045625,0.47796834980440317,0.9291104177412903,0.22811200324020953,0.2919732578755303
ACEINTEG,24.18000030517578,2025-08-14,d1,24.208041806496365,24.302178317074137,24.16440962635225,24.296150837982378,24.81032161544858,24.36299536054721,26.5178745776026,24.780272779972357,26.089672648397,Industrials,Small,High,0.0011596981375794346,0.005052854026317055,-0.0006447757910158503,0.00480357863278158,0.026067878507754827,0.007568033625386494,0.09668627969067445,0.02482516407032831,0.07897734983950544
ACI,675.6500244140625,2025-08-14,d1,675.786065294924,686.9224460154464,680.4525458329962,682.1181514277738,635.1372884520484,650.8743835260433,,641.3042215132843,687.3496264845571,Consumer Defensive,Small,Medium,0.00020134814762928777,0.01668381735227431,0.007108001547248444,0.009573191415660265,-0.05996112557998878,-0.03666934062424576,,-0.050833718137675676,0.017316068449254818
ACLGATI,61.97999954223633,2025-08-14,d10,62.01556830287776,62.73506215415304,62.06183331567448,62.12841485937462,66.40488925890178,64.59348488039439,63.91600816538082,66.50395885473027,66.05437296662413,Industrials,Small,High,0.0005738748129096027,0.012182359107669516,0.0013203254927807162,0.0023945678966512673,0.0713922192537304,0.042166591762833106,0.031236021901310362,0.07299063158932562,0.06573690633236162
